Αἰακοῦ	*ai)akou=	Αἰακός	*ai)ako/s	n-s---mg-
νόστου	no/stou	νόστος	no/stos	n-s---mg-
νύκτες	nu/ktes	νύξ	nu/c	n-p---fn-
νύκτες	nu/ktes	νύξ	nu/c	n-p---fv-
νᾶες	na=es	ναῦς	nau=s	n-p---fn-
νῆας	nh=as	ναῦς	nau=s	n-p---fa-
νῦν	nu=n	νῦν	nu=n	d--------
νῶι	nw=i	ἐγώ	e)gw/	p-d---mn-
νῶι	nw=i	ἐγώ	e)gw/	p-d---mv-
νῶι	nw=i	ἐγώ	e)gw/	p-d---ma-
νῶι	nw=i	ἐγώ	e)gw/	p-d---fn-
νῶι	nw=i	ἐγώ	e)gw/	p-d---fv-
νῶι	nw=i	ἐγώ	e)gw/	p-d---fa-
νῶι	nw=i	νάω	na/w	v3spoa---
νῶι	nw=i	νόος	no/os	n-s---md-
ξανθαί	canqai/	ξανθός	canqo/s	a-p---fn-
ξανθαί	canqai/	ξανθός	canqo/s	a-p---fv-
ξανθούς	canqou/s	ξανθός	canqo/s	a-p---ma-
ξανθόν	canqo/n	ξανθός	canqo/s	a-s---ma-
ξανθόν	canqo/n	ξανθός	canqo/s	a-s---nn-
ξανθόν	canqo/n	ξανθός	canqo/s	a-s---nv-
ξανθόν	canqo/n	ξανθός	canqo/s	a-s---na-
ξανθῆς	canqh=s	ξανθός	canqo/s	a-s---fg-
ξείναις	cei/nais	ξένοσ2	ce/nos2	a-p---fd-
ξεῖναι	cei=nai	ξένοσ2	ce/nos2	a-p---fn-
ξεῖναι	cei=nai	ξένοσ2	ce/nos2	a-p---fv-
ξυγκελεύων	cugkeleu/wn	συγκελεύω	sugkeleu/w	v-sppamn-
ξυμφοράν	cumfora/n	συμφορά	sumfora/	n-s---fa-
ξυναμυνεῖν	cunamunei=n	σύν-ἀμύνω	su/n-a)mu/nw	v--fna---
ξυναρπάσας	cunarpa/sas	συναρπάζω	sunarpa/zw	v-pfpafa-
ξυναρπάσας	cunarpa/sas	συναρπάζω	sunarpa/zw	v-sfpafg-
ξυναρπάσας	cunarpa/sas	συναρπάζω	sunarpa/zw	v-sapamn-
ξυναρπάσας	cunarpa/sas	συναρπάζω	sunarpa/zw	v-sapamv-
ξυνεστῶτος	cunestw=tos	συνίστημι	suni/sthmi	v-srpamg-
ξυνεστῶτος	cunestw=tos	συνίστημι	suni/sthmi	v-srpang-
ξυνάορος	cuna/oros	συνάορος	suna/oros	n-s---mn-
ξυνάορος	cuna/oros	συνάορος	suna/oros	n-s---fn-
ξυνάορος	cuna/oros	συνήορος	sunh/oros	n-s---mn-
ξυνάορος	cuna/oros	συνήορος	sunh/oros	n-s---fn-
ξυνίσταθ’	cuni/staq'	συνίστημι	suni/sthmi	v3siie---
ξυνίσταθ’	cuni/staq'	συνίστημι	suni/sthmi	v2piia---
ξυνίσταθ’	cuni/staq'	συνίστημι	suni/sthmi	v2ppma---
ξυνίσταθ’	cuni/staq'	συνίστημι	suni/sthmi	v2ppia---
ξυνίσταθ’	cuni/staq'	συνίστημι	suni/sthmi	v3spie---
ξυνίσταθ’	cuni/staq'	συνίστημι	suni/sthmi	v3siie---
ξυνίσταθ’	cuni/staq'	συνίστημι	suni/sthmi	v2piia---
ξυνᾶγε	cuna=ge	συνάγω	suna/gw	v3siia---
ξέναι	ce/nai	ξένη	ce/nh	n-p---fn-
ξέναι	ce/nai	ξένη	ce/nh	n-p---fv-
ξέναι	ce/nai	ξένη	ce/nh	n-s---fd-
ξέναι	ce/nai	ξένοσ2	ce/nos2	a-p---fn-
ξέναι	ce/nai	ξένοσ2	ce/nos2	a-p---fv-
ξέναι	ce/nai	ξένοσ2	ce/nos2	a-s---fd-
ξέναισι	ce/naisi	ξένη	ce/nh	n-p---fd-
ξέναισι	ce/naisi	ξένοσ2	ce/nos2	a-p---fd-
ξένε	ce/ne	ξένοσ1	ce/nos1	n-s---mv-
ξένε	ce/ne	ξένοσ2	ce/nos2	a-s---mv-
ξένε	ce/ne	ξένοσ2	ce/nos2	n-s---mv-
ξένε	ce/ne	ξένοσ2	ce/nos2	n-s---fv-
ξένην	ce/nhn	ξένη	ce/nh	n-s---fa-
ξένην	ce/nhn	ξένοσ2	ce/nos2	a-s---fa-
ξένον	ce/non	ξένοσ1	ce/nos1	n-s---ma-
ξένον	ce/non	ξένοσ2	ce/nos2	a-s---ma-
ξένον	ce/non	ξένοσ2	ce/nos2	a-s---nn-
ξένον	ce/non	ξένοσ2	ce/nos2	a-s---nv-
ξένον	ce/non	ξένοσ2	ce/nos2	a-s---na-
ξένον	ce/non	ξένοσ2	ce/nos2	n-s---ma-
ξένον	ce/non	ξένοσ2	ce/nos2	n-s---fa-
ξένον	ce/non	ξένοσ2	ce/nos2	n-s---nn-
ξένον	ce/non	ξένοσ2	ce/nos2	n-s---nv-
ξένον	ce/non	ξένοσ2	ce/nos2	n-s---na-
ξέν’	ce/n'	ξένη	ce/nh	n-p---fn-
ξέν’	ce/n'	ξένη	ce/nh	n-p---fv-
ξέν’	ce/n'	ξένη	ce/nh	n-s---fd-
ξέν’	ce/n'	ξένοσ1	ce/nos1	n-s---mv-
ξέν’	ce/n'	ξένοσ2	ce/nos2	a-p---nn-
ξέν’	ce/n'	ξένοσ2	ce/nos2	a-p---nv-
ξέν’	ce/n'	ξένοσ2	ce/nos2	a-p---na-
ξέν’	ce/n'	ξένοσ2	ce/nos2	n-p---nn-
ξέν’	ce/n'	ξένοσ2	ce/nos2	n-p---nv-
ξέν’	ce/n'	ξένοσ2	ce/nos2	n-p---na-
ξέν’	ce/n'	ξένοσ2	ce/nos2	a-s---mv-
ξέν’	ce/n'	ξένοσ2	ce/nos2	n-s---mv-
ξέν’	ce/n'	ξένοσ2	ce/nos2	n-s---fv-
ξέν’	ce/n'	ξένοσ2	ce/nos2	a-p---fn-
ξέν’	ce/n'	ξένοσ2	ce/nos2	a-p---fv-
ξέν’	ce/n'	ξένοσ2	ce/nos2	a-s---fd-
ξύν	cu/n	σύν	su/n	r--------
ξύνεσιν	cu/nesin	σύνεσις	su/nesis	n-s---fa-
οἰηθεῖσ’	oi)hqei=s'	οἴομαι	oi)/omai	v-sappfn-
οἰηθεῖσ’	oi)hqei=s'	οἴομαι	oi)/omai	v-sappfv-
οἰηθεῖσ’	oi)hqei=s'	οἴομαι	oi)/omai	v-pappmd-
οἰηθεῖσ’	oi)hqei=s'	οἴομαι	oi)/omai	v-pappnd-
οἰηθεῖσ’	oi)hqei=s'	οἴομαι	oi)/omai	v-pappfn-
οἰηθεῖσ’	oi)hqei=s'	οἴομαι	oi)/omai	v-pappfv-
οἰηθεῖσ’	oi)hqei=s'	οἰάω	oi)a/w	v-sappfn-
οἰηθεῖσ’	oi)hqei=s'	οἰάω	oi)a/w	v-sappfv-
οἰηθεῖσ’	oi)hqei=s'	οἰάω	oi)a/w	v-pappmd-
οἰηθεῖσ’	oi)hqei=s'	οἰάω	oi)a/w	v-pappnd-
οἰηθεῖσ’	oi)hqei=s'	οἰάω	oi)a/w	v-pappfn-
οἰηθεῖσ’	oi)hqei=s'	οἰάω	oi)a/w	v-pappfv-
οἰκεῖ	oi)kei=	οἰκέω	oi)ke/w	v2spie---
οἰκεῖ	oi)kei=	οἰκέω	oi)ke/w	v3spia---
οἰκεῖ	oi)kei=	οἰκεύς	oi)keu/s	n-s---md-
οἰκεῖν	oi)kei=n	οἰκέω	oi)ke/w	v--pna---
οἰκούσῃ	oi)kou/sh|	οἰκέω	oi)ke/w	v-sppafd-
οἰκτρούς	oi)ktrou/s	οἰκτρός	oi)ktro/s	a-p---ma-
οἰκτρά	oi)ktra/	οἰκτρός	oi)ktro/s	a-p---nn-
οἰκτρά	oi)ktra/	οἰκτρός	oi)ktro/s	a-p---nv-
οἰκτρά	oi)ktra/	οἰκτρός	oi)ktro/s	a-p---na-
οἰκτρά	oi)ktra/	οἰκτρός	oi)ktro/s	a-d---fn-
οἰκτρά	oi)ktra/	οἰκτρός	oi)ktro/s	a-d---fv-
οἰκτρά	oi)ktra/	οἰκτρός	oi)ktro/s	a-d---fa-
οἰκτρά	oi)ktra/	οἰκτρός	oi)ktro/s	a-s---fn-
οἰκτρά	oi)ktra/	οἰκτρός	oi)ktro/s	a-s---fv-
οἰκτίρω	oi)kti/rw	οἰκτείρω	oi)ktei/rw	v1spsa---
οἰκτίρω	oi)kti/rw	οἰκτείρω	oi)ktei/rw	v1spia---
οἰκτίρω	oi)kti/rw	οἰκτείρω	oi)ktei/rw	v1sasa---
οἰκτίρω	oi)kti/rw	οἰκτείρω	oi)ktei/rw	v2saim---
οἰκήσομεν	oi)kh/somen	οἰκέω	oi)ke/w	v1pasa---
οἰκήσομεν	oi)kh/somen	οἰκέω	oi)ke/w	v1pfia---
οἰκίζεις	oi)ki/zeis	οἰκίζω	oi)ki/zw	v2spia---
οἰκίσαι	oi)ki/sai	οἰκίζω	oi)ki/zw	v--ana---
οἰκίσαι	oi)ki/sai	οἰκίζω	oi)ki/zw	v3saoa---
οἰστρήσας	oi)strh/sas	οἰστράω	oi)stra/w	v-sapamn-
οἰστρήσας	oi)strh/sas	οἰστράω	oi)stra/w	v-sapamv-
οἰστρήσας	oi)strh/sas	οἰστρέω	oi)stre/w	v-sapamn-
οἰστρήσας	oi)strh/sas	οἰστρέω	oi)stre/w	v-sapamv-
οἰωνόν	oi)wno/n	οἰωνός	oi)wno/s	n-s---ma-
οἱ	oi(	ἕ	e(/	n-s---md-
οἱ	oi(	ἕ	e(/	n-s---fd-
οἱ	oi(	ὁ	o(	l-p---mn-
οἱ	oi(	ὁ	o(	l-p---mv-
οἴ	oi)/	ὄις	o)/is	n-s---mv-
οἴ	oi)/	ὄις	o)/is	n-s---fv-
οἴ	oi)/	οἰ	oi)	x--------
οἴκαδε	oi)/kade	οἴκαδε	oi)/kade	d--------
οἴκοθεν	oi)/koqen	οἴκοθεν	oi)/koqen	d--------
οἴκοθέν	oi)/koqe/n	οἴκοθεν	oi)/koqen	d--------
οἴκους	oi)/kous	οἶκος	oi)=kos	n-p---ma-
οἴκτιρε	oi)/ktire	οἰκτείρω	oi)ktei/rw	v2spma---
οἴκτιρε	oi)/ktire	οἰκτείρω	oi)ktei/rw	v3siia---
οἴκτιρε	oi)/ktire	οἰκτείρω	oi)ktei/rw	v3saia---
οἴκων	oi)/kwn	οἶκος	oi)=kos	n-p---mg-
οἴκῳ	oi)/kw|	οἶκος	oi)=kos	n-s---md-
οἴμοι	oi)/moi	οἴμοι	oi)/moi	x--------
οἴστρων	oi)/strwn	οἶστρος	oi)=stros	n-p---mg-
οἴστρων	oi)/strwn	οἰστράω	oi)stra/w	v3piia---
οἴστρων	oi)/strwn	οἰστράω	oi)stra/w	v1siia---
οἴχεται	oi)/xetai	οἴχομαι	oi)/xomai	v3spie---
οἴχοιτο	oi)/xoito	οἴχομαι	oi)/xomai	v3spoe---
οἴχομαι	oi)/xomai	οἴχομαι	oi)/xomai	v1spie---
οἴχῃ	oi)/xh|	οἴχομαι	oi)/xomai	v2spse---
οἴχῃ	oi)/xh|	οἴχομαι	oi)/xomai	v2spie---
οἵ	oi(/	ἕ	e(/	n-s---md-
οἵ	oi(/	ἕ	e(/	n-s---fd-
οἵ	oi(/	ὁ	o(	l-p---mn-
οἵ	oi(/	ὁ	o(	l-p---mv-
οἵ	oi(/	ὅς	o(/s	p-p---mn-
οἵαν	oi(/an	οἷος	oi(=os	a-s---fa-
οἵας	oi(/as	οἷος	oi(=os	a-p---fa-
οἵας	oi(/as	οἷος	oi(=os	a-s---fg-
οἵδ’	oi(/d'	ὅδε	o(/de	n-p---mn-
οἶδα	oi)=da	οἶδα	oi)=da	v1sria---
οἶδε	oi)=de	οἶδα	oi)=da	v3sria---
οἶδεν	oi)=den	οἶδα	oi)=da	v3sria---
οἶδμα	oi)=dma	οἶδμα	oi)=dma	n-s---nn-
οἶδμα	oi)=dma	οἶδμα	oi)=dma	n-s---nv-
οἶδμα	oi)=dma	οἶδμα	oi)=dma	n-s---na-
οἶδά	oi)=da/	οἶδα	oi)=da	v1sria---
οἶκον	oi)=kon	οἶκος	oi)=kos	n-s---ma-
οἶκτον	oi)=kton	οἶκτος	oi)=ktos	n-s---ma-
οἶκτόν	oi)=kto/n	οἶκτος	oi)=ktos	n-s---ma-
οἶμαι	oi)=mai	οἴμη	oi)/mh	n-p---fn-
οἶμαι	oi)=mai	οἴμη	oi)/mh	n-p---fv-
οἶμαι	oi)=mai	οἴομαι	oi)/omai	v1spie---
οἶσθα	oi)=sqa	οἶδα	oi)=da	v2sria---
οἷα	oi(=a	οἷος	oi(=os	a-p---nn-
οἷα	oi(=a	οἷος	oi(=os	a-p---nv-
οἷα	oi(=a	οἷος	oi(=os	a-p---na-
οἷον	oi(=on	οἷος	oi(=os	a-s---ma-
οἷον	oi(=on	οἷος	oi(=os	a-s---nn-
οἷον	oi(=on	οἷος	oi(=os	a-s---nv-
οἷον	oi(=on	οἷος	oi(=os	a-s---na-
οἷς	oi(=s	ὅς	o(/s	p-p---md-
οἷς	oi(=s	ὅς	o(/s	p-p---nd-
οὐ	ou)	οὐ	ou)	d--------
οὐδαμοῦ	ou)damou=	οὐδαμός	ou)damo/s	a-s---mg-
οὐδαμοῦ	ou)damou=	οὐδαμός	ou)damo/s	a-s---ng-
οὐδαμοῦ	ou)damou=	οὐδαμοῦ	ou)damou=	d--------
οὐδενός	ou)deno/s	οὐδείς	ou)dei/s	n-s----g-
οὐδείς	ou)dei/s	οὐδείς	ou)dei/s	n-s---mn-
οὐδείς	ou)dei/s	οὐδείς	ou)dei/s	n-s---mv-
οὐδέ	ou)de/	οὐδέ	ou)de/	g--------
οὐδέ	ou)de/	οὐδόσ1	ou)do/s1	n-s---mv-
οὐδέ	ou)de/	οὐδόσ2	ou)do/s2	n-s---fv-
οὐδέν	ou)de/n	οὐδείς	ou)dei/s	n-s---nn-
οὐδέν	ou)de/n	οὐδείς	ou)dei/s	n-s---nv-
οὐδέν	ou)de/n	οὐδείς	ou)dei/s	n-s---na-
οὐδένας	ou)de/nas	οὐδείς	ou)dei/s	n-p---ma-
οὐδένας	ou)de/nas	οὐδείς	ou)dei/s	n-p---fa-
οὐδέν’	ou)de/n'	οὐδείς	ou)dei/s	n-s---ma-
οὐδέν’	ou)de/n'	οὐδείς	ou)dei/s	n-s---fa-
οὐδέν’	ou)de/n'	οὐδείς	ou)dei/s	n-p---nn-
οὐδέν’	ou)de/n'	οὐδείς	ou)dei/s	n-p---nv-
οὐδέν’	ou)de/n'	οὐδείς	ou)dei/s	n-p---na-
οὐκ	ou)k	οὐ	ou)	d--------
οὐκέτι	ou)ke/ti	οὐκέτι	ou)ke/ti	d--------
οὐπώποτ’	ou)pw/pot'	οὐπώποτε	ou)pw/pote	d--------
οὐρίας	ou)ri/as	οὔριος	ou)/rios	a-p---fa-
οὐρίας	ou)ri/as	οὔριος	ou)/rios	a-s---fg-
οὐρίας	ou)ri/as	οὐρία	ou)ri/a	n-p---fa-
οὐρίας	ou)ri/as	οὐρία	ou)ri/a	n-s---fg-
οὐχ	ou)x	οὐ	ou)	d--------
οὐχί	ou)xi/	οὐ	ou)	d--------
οὑμός	ou(mo/s	ἐμός	e)mo/s	a-s---mn-
οὑμός	ou(mo/s	ὑμός	u(mo/s	a-s---mn-
οὑπάγων	ou(pa/gwn	ἐπάγω	e)pa/gw	v-sppamn-
οὑπάγων	ou(pa/gwn	ὑπάγω	u(pa/gw	v-sppamn-
οὔ	ou)/	οὐ	ou)	d--------
οὔκ	ou)/k	οὐ	ou)	d--------
οὔκουν	ou)/koun	οὔκουν	ou)/koun	d--------
οὔποτ’	ou)/pot'	οὔποτε	ou)/pote	d--------
οὔπω	ou)/pw	οὔπω	ou)/pw	d--------
οὔριον	ou)/rion	οὔριον	ou)/rion	n-s---nn-
οὔριον	ou)/rion	οὔριον	ou)/rion	n-s---nv-
οὔριον	ou)/rion	οὔριον	ou)/rion	n-s---na-
οὔριον	ou)/rion	οὔριος	ou)/rios	a-s---ma-
οὔριον	ou)/rion	οὔριος	ou)/rios	a-s---nn-
οὔριον	ou)/rion	οὔριος	ou)/rios	a-s---nv-
οὔριον	ou)/rion	οὔριος	ou)/rios	a-s---na-
οὔριον	ou)/rion	οὔριος	ou)/rios	n-s---ma-
οὔριον	ou)/rion	οὔριος	ou)/rios	n-s---fa-
οὔριον	ou)/rion	οὔριος	ou)/rios	n-s---nn-
οὔριον	ou)/rion	οὔριος	ou)/rios	n-s---nv-
οὔριον	ou)/rion	οὔριος	ou)/rios	n-s---na-
οὔριον	ou)/rion	οὐρέω	ou)re/w	v3piia---
οὔριον	ou)/rion	οὐρέω	ou)re/w	v1siia---
οὔτε	ou)/te	οὔτε	ou)/te	d--------
οὔτοι	ou)/toi	οὔτοι	ou)/toi	d--------
οὔτ’	ou)/t'	οὔτε	ou)/te	d--------
οὔτ’	ou)/t'	οὔτι	ou)/ti	d--------
οὔτ’	ou)/t'	οὔτις	ou)/tis	n-s---nn-
οὔτ’	ou)/t'	οὔτις	ou)/tis	n-s---nv-
οὔτ’	ou)/t'	οὔτις	ou)/tis	n-s---na-
οὕνεκα	ou(/neka	οὕνεκα	ou(/neka	c--------
οὕνεκ’	ou(/nek'	οὕνεκα	ou(/neka	c--------
οὕς	ou(/s	ὅς	o(/s	p-p---ma-
οὕστινας	ou(/stinas	ὅστις	o(/stis	p-p---ma-
οὕτω	ou(/tw	οὕτως	ou(/tws	d--------
οὖν	ou)=n	οὖν	ou)=n	g--------
οὖσα	ou)=sa	εἰμί	ei)mi/	v-sppafn-
οὖσα	ou)=sa	εἰμί	ei)mi/	v-sppafv-
οὖσα	ou)=sa	οὖσον	ou)=son	n-p---nn-
οὖσα	ou)=sa	οὖσον	ou)=son	n-p---nv-
οὖσα	ou)=sa	οὖσον	ou)=son	n-p---na-
οὖσαι	ou)=sai	εἰμί	ei)mi/	v-pppafn-
οὖσαι	ou)=sai	εἰμί	ei)mi/	v-pppafv-
οὖσαν	ou)=san	εἰμί	ei)mi/	v-sppafa-
οὗ	ou(=	ἕ	e(/	n-s---mg-
οὗ	ou(=	ἕ	e(/	n-s---fg-
οὗ	ou(=	ἵημι	i(/hmi	v--amm---
οὗ	ou(=	ὅς	o(/s	p-s---mg-
οὗ	ou(=	ὅς	o(/s	p-s---ng-
οὗ	ou(=	οὗ	ou(=	d--------
οὗπερ	ou(=per	οὗπερ	ou(=per	d--------
οὗπέρ	ou(=pe/r	οὗπερ	ou(=per	d--------
οὗτοι	ou(=toi	οὗτος	ou(=tos	n-p---mn-
οὗτοι	ou(=toi	οὗτος	ou(=tos	n-p---mv-
οὗτος	ou(=tos	οὗτος	ou(=tos	n-s---mn-
οὗτος	ou(=tos	οὗτος	ou(=tos	n-s---mv-
παγαί	pagai/	πηγή	phgh/	n-p---fn-
παγαί	pagai/	πηγή	phgh/	n-p---fv-
παγάς	paga/s	πηγή	phgh/	n-p---fa-
παγέντας	page/ntas	πάσσω	pa/ssw	v-pappma-
παγέντας	page/ntas	πήγνυμι	ph/gnumi	v-pappma-
παγέντας	page/ntas	πήγνυμι	ph/gnumi	v-pappma-
παθοῦσα	paqou=sa	πάσχω	pa/sxw	v-sapafn-
παθοῦσα	paqou=sa	πάσχω	pa/sxw	v-sapafv-
παθοῦσ’	paqou=s'	πάσχω	pa/sxw	v-sapafn-
παθοῦσ’	paqou=s'	πάσχω	pa/sxw	v-sapafv-
παθοῦσ’	paqou=s'	πάσχω	pa/sxw	v-papamd-
παθοῦσ’	paqou=s'	πάσχω	pa/sxw	v-papand-
παθοῦσ’	paqou=s'	πάσχω	pa/sxw	v-papafn-
παθοῦσ’	paqou=s'	πάσχω	pa/sxw	v-papafv-
παιδευόμεναι	paideuo/menai	παιδεύω	paideu/w	v-pppefn-
παιδευόμεναι	paideuo/menai	παιδεύω	paideu/w	v-pppefv-
παιδί	paidi/	παῖς	pai=s	n-s---md-
παιδί	paidi/	παῖς	pai=s	n-s---fd-
παιδός	paido/s	παῖς	pai=s	n-s---mg-
παιδός	paido/s	παῖς	pai=s	n-s---fg-
παιᾶνα	paia=na	Παιάν	*paia/n	n-s---ma-
παλαιούς	palaiou/s	παλαιός	palaio/s	a-p---ma-
παλαιόν	palaio/n	παλαιός	palaio/s	a-s---ma-
παλαιόν	palaio/n	παλαιός	palaio/s	a-s---nn-
παλαιόν	palaio/n	παλαιός	palaio/s	a-s---nv-
παλαιόν	palaio/n	παλαιός	palaio/s	a-s---na-
παλαιῶν	palaiw=n	παλαιός	palaio/s	a-p---fg-
παλαιῶν	palaiw=n	παλαιός	palaio/s	a-p---mg-
παλαιῶν	palaiw=n	παλαιός	palaio/s	a-p---ng-
παλαιῶν	palaiw=n	παλαιόω	palaio/w	v-sppamv-
παλαιῶν	palaiw=n	παλαιόω	palaio/w	v-sppann-
παλαιῶν	palaiw=n	παλαιόω	palaio/w	v-sppanv-
παλαιῶν	palaiw=n	παλαιόω	palaio/w	v-sppana-
παλαιῶν	palaiw=n	παλαιόω	palaio/w	v-sppamn-
παλαιῶν	palaiw=n	παλαιόω	palaio/w	v--pna---
πανταχοῦ	pantaxou=	πανταχοῦ	pantaxou=	d--------
πανταχῇ	pantaxh=|	πανταχῆ	pantaxh=	d--------
παπαῖ	papai=	παπαῖ	papai=	x--------
παραδιδῷ	paradidw=|	παραδίδωμι	paradi/dwmi	v3spsa---
παραδούς	paradou/s	παραδίδωμι	paradi/dwmi	v-sapamn-
παραδούς	paradou/s	παραδίδωμι	paradi/dwmi	v-sapamv-
παραδούς	paradou/s	παραδίδωμι	paradi/dwmi	v-sapamn-
παραδούς	paradou/s	παραδίδωμι	paradi/dwmi	v-sapamv-
παραινῶ	parainw=	παραινέω	paraine/w	v1spsa---
παραινῶ	parainw=	παραινέω	paraine/w	v1spia---
παραινῶ	parainw=	παραινέω	paraine/w	v1spsa---
παραινῶ	parainw=	παραινέω	paraine/w	v1spia---
παραιτοῦμαι	paraitou=mai	παραιτέομαι	paraite/omai	v1spie---
παραιτοῦμαι	paraitou=mai	παραιτέομαι	paraite/omai	v1spie---
παρακαλῶν	parakalw=n	παρακαλέω	parakale/w	v-sppamn-
παρακαλῶν	parakalw=n	παρακαλέω	parakale/w	v-sfpamn-
παρακαλῶν	parakalw=n	παρακαλέω	parakale/w	v-sppamn-
παρακτίαν	parakti/an	παράκτιος	para/ktios	a-s---fa-
παρακάλει	paraka/lei	παρακαλέω	parakale/w	v2spma---
παρακάλει	paraka/lei	παρακαλέω	parakale/w	v2spma---
παρακάλει	paraka/lei	παρακαλέω	parakale/w	v3siia---
παρακάλει	paraka/lei	παρακαλέω	parakale/w	v3siia---
παραμειψαμένη	parameiyame/nh	παραμείβω	paramei/bw	v-sapmfn-
παραμειψαμένη	parameiyame/nh	παραμείβω	paramei/bw	v-sapmfv-
παραμυθεῖσθαι	paramuqei=sqai	παραμυθέομαι	paramuqe/omai	v--pne---
παραμυθεῖσθαι	paramuqei=sqai	παραμυθέομαι	paramuqe/omai	v--pne---
παρανοοῦσα	paranoou=sa	παρανοέω	paranoe/w	v-sppafn-
παρανοοῦσα	paranoou=sa	παρανοέω	paranoe/w	v-sppafv-
παρανοοῦσα	paranoou=sa	παρανοέω	paranoe/w	v-sppafn-
παρανοοῦσα	paranoou=sa	παρανοέω	paranoe/w	v-sppafv-
παρασκευῆς	paraskeuh=s	παρασκευάζω	paraskeua/zw	v2sfia---
παρασκευῆς	paraskeuh=s	παρασκευάζω	paraskeua/zw	v2sfia---
παρασκευῆς	paraskeuh=s	παρασκευή	paraskeuh/	n-s---fg-
παρασχεῖν	parasxei=n	παρέχω	pare/xw	v--ana---
παραφέρουσ’	parafe/rous'	παραφέρω	parafe/rw	v-sppafn-
παραφέρουσ’	parafe/rous'	παραφέρω	parafe/rw	v-sppafv-
παραφέρουσ’	parafe/rous'	παραφέρω	parafe/rw	v-pppamd-
παραφέρουσ’	parafe/rous'	παραφέρω	parafe/rw	v-pppand-
παραφέρουσ’	parafe/rous'	παραφέρω	parafe/rw	v3ppia---
παραφέρουσ’	parafe/rous'	παραφέρω	parafe/rw	v-pppafn-
παραφέρουσ’	parafe/rous'	παραφέρω	parafe/rw	v-pppafv-
παρεκάλεις	pareka/leis	παρακαλέω	parakale/w	v2siia---
παρεπάλλετο	parepa/lleto	παραπάλλομαι	parapa/llomai	v3siie---
παρείς	parei/s	παρίημι	pari/hmi	v-sapamn-
παρείς	parei/s	παρίημι	pari/hmi	v-sapamv-
παρείς	parei/s	πείρω	pei/rw	v-sappmn-
παρείς	parei/s	πείρω	pei/rw	v-sappmv-
παρεῖναι	parei=nai	πάρειμι1	pa/reimi1	v--pna---
παρεῖναι	parei=nai	παρίημι	pari/hmi	v--ana---
παρεῖναι	parei=nai	παρίημι	pari/hmi	v--ana---
παρεῖσά	parei=sa/	παρέζομαι	pare/zomai	v1saia---
παρεῖσά	parei=sa/	παρίημι	pari/hmi	v-sapafn-
παρεῖσά	parei=sa/	παρίημι	pari/hmi	v-sapafv-
παρεῖσά	parei=sa/	παρίζω	pari/zw	v1saia---
παρεῖσά	parei=sa/	πείρω	pei/rw	v-sappfn-
παρεῖσά	parei=sa/	πείρω	pei/rw	v-sappfv-
παρθενῶνας	parqenw=nas	παρθενών	parqenw/n	n-p---ma-
παρθενῶσι	parqenw=si	παρθενών	parqenw/n	n-p---md-
παρθένοι	parqe/noi	παρθένος	parqe/nos	n-p---fn-
παρθένοι	parqe/noi	παρθένος	parqe/nos	n-p---fv-
παρθένοις	parqe/nois	παρθένος	parqe/nos	n-p---fd-
παρθένοισι	parqe/noisi	παρθένος	parqe/nos	n-p---fd-
παρθένον	parqe/non	παρθένος	parqe/nos	n-s---fa-
παρθένος	parqe/nos	παρθένος	parqe/nos	n-s---fn-
παρθένου	parqe/nou	παρθένος	parqe/nos	n-s---fg-
παρθένους	parqe/nous	παρθένος	parqe/nos	n-p---fa-
παρθένῳ	parqe/nw|	παρθένος	parqe/nos	n-s---fd-
παρουσίαν	parousi/an	παρουσία	parousi/a	n-s---fa-
παροίξας	paroi/cas	παροίγνυμι	paroi/gnumi	v-sapamn-
παροίξας	paroi/cas	παροίγνυμι	paroi/gnumi	v-sapamv-
παρούσης	parou/shs	πάρειμι1	pa/reimi1	v-sppafg-
παρούσης	parou/shs	παρόω	paro/w	v-sppafg-
παρούσῃ	parou/sh|	πάρειμι1	pa/reimi1	v-sppafd-
παρούσῃ	parou/sh|	παρόω	paro/w	v-sppafd-
παρά	para/	παρά	para/	r--------
παρά	para/	πηρός	phro/s	a-p---nn-
παρά	para/	πηρός	phro/s	a-p---nv-
παρά	para/	πηρός	phro/s	a-p---na-
παρά	para/	πηρός	phro/s	a-d---fn-
παρά	para/	πηρός	phro/s	a-d---fv-
παρά	para/	πηρός	phro/s	a-d---fa-
παρά	para/	πηρός	phro/s	a-s---fn-
παρά	para/	πηρός	phro/s	a-s---fv-
παρέξω	pare/cw	παρέχω	pare/xw	v1sfia---
παρέχωμεν	pare/xwmen	παρέχω	pare/xw	v1ppsa---
παρέχων	pare/xwn	παραχώννυμι	paraxw/nnumi	v3piia---
παρέχων	pare/xwn	παραχώννυμι	paraxw/nnumi	v1siia---
παρέχων	pare/xwn	παρέχω	pare/xw	v-sppamn-
παρόν	paro/n	πάρειμι1	pa/reimi1	v-sppamv-
παρόν	paro/n	πάρειμι1	pa/reimi1	v-sppann-
παρόν	paro/n	πάρειμι1	pa/reimi1	v-sppanv-
παρόν	paro/n	πάρειμι1	pa/reimi1	v-sppana-
παρόν	paro/n	πηρός	phro/s	a-s---ma-
παρόν	paro/n	πηρός	phro/s	a-s---nn-
παρόν	paro/n	πηρός	phro/s	a-s---nv-
παρόν	paro/n	πηρός	phro/s	a-s---na-
